Distributions,Network,Network Stake USD,Payout Token,Total Distributed USD
7,Hyperlane,57045921.03147344,['HYPER'],961925.9598731014
530,Tanssi Network,95246787.63821603,['TANSSI'],376539.33426145196
90,Cap,46903068.080409706,['USDC'],71693.41785008999
